	LIN_head	MAS_head	BB_forelimb	DAP_forelimb	DSP_forelimb	EDC_forelimb	EDL-F_forelimb	FDP-F_forelimb	FDS-F_forelimb	ISP_forelimb	SSP_forelimb	SUB_forelimb	TB-LA_forelimb	TB-LO_forelimb	TB-M_forelimb	TM_forelimb	BRA_trunk	LD_trunk	LDM_trunk	OEA_trunk	PP_trunk	PS_trunk	RA_trunk	RHO_trunk	SP_trunk	TA_trunk	TRC_trunk	ADD_hindlimb	BF_hindlimb	EDL-H_hindlimb	FDP-H_hindlimb	FDS-H_hindlimb	GAS-L_hindlimb	GAS-M_hindlimb	GM_hindlimb	GRA_hindlimb	PM_hindlimb	RF_hindlimb	SAR_hindlimb	SM_hindlimb	SOL_hindlimb	ST_hindlimb	TFL_hindlimb	TIC_hindlimb	VI_hindlimb	VL_hindlimb	VM_hindlimb	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle
RHO_trunk	3	2	4	4	3	3	5	4	5	4	3	6	6	3	2	5	0	2	3	0	4	3	5	0	6	3	4	4	4	6	5	5	2	5	3	4	4	4	3	5	3	2	5	5	5	5	5	6	16	0	16
SP_trunk	4	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	2	0	0	1	1	2	0	0	1	1	1	1	2	2	1	2	2	1	3	1	1	1	1	1	2	1	1	1	2	8	11	2	10
TA_trunk	10	4	1	0	0	0	2	5	2	2	1	2	3	2	1	1	1	0	3	0	0	1	0	1	6	0	3	1	0	4	2	1	1	1	2	0	1	0	0	2	0	0	2	0	5	1	1	12	20	2	16
TRC_trunk	8	10	4	3	3	4	4	5	4	4	4	6	6	5	2	4	0	4	4	0	3	4	4	2	8	3	0	4	4	6	3	4	2	3	3	7	3	3	5	8	3	4	5	4	6	5	3	9	23	1	19
ADD_hindlimb	7	3	1	0	0	1	1	1	0	1	0	2	2	1	0	0	0	2	0	1	2	1	1	2	5	0	2	0	1	1	1	1	0	1	1	1	1	0	0	2	1	0	2	0	1	1	1	10	19	0	22
BF_hindlimb	3	2	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	8	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	6	22	3	20
EDL-H_hindlimb	11	3	1	0	1	0	0	1	0	0	2	1	5	1	1	1	0	1	0	1	1	1	1	2	6	2	5	1	0	0	2	0	0	2	1	1	0	1	0	1	0	1	1	1	2	0	3	12	23	2	18
FDP-H_hindlimb	4	3	5	1	0	0	0	1	2	0	3	5	6	3	1	0	0	4	6	0	0	9	2	3	7	1	6	3	1	5	0	0	0	1	3	2	4	3	0	5	0	2	6	0	0	0	3	6	17	0	16
FDS-H_hindlimb	1	1	0	0	0	0	0	1	0	1	0	2	2	0	1	0	0	1	1	0	0	2	0	3	11	1	4	1	1	0	0	0	0	1	0	1	2	0	0	2	0	0	2	1	0	1	1	11	16	1	9
GAS-L_hindlimb	0	4	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	3	0	3	0	0	0	1	1	0	0	1	0	2	0	0	2	1	0	1	1	1	0	1	9	12	0	13
GAS-M_hindlimb	12	3	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	0	3	0	0	1	1	1	10	0	3	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	12	12	1	19
GM_hindlimb	4	3	3	0	1	0	0	2	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	4	1	4	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	15	20	1	25
GRA_hindlimb	2	6	3	1	0	0	1	3	1	3	0	2	2	2	1	1	0	1	3	0	1	2	2	1	2	1	8	0	1	1	1	1	1	2	2	0	5	0	0	3	1	0	3	0	2	0	4	6	17	1	18
PM_hindlimb	7	3	0	0	0	1	2	2	0	0	0	1	3	1	0	1	0	0	1	0	0	1	0	0	6	1	2	0	0	0	1	1	0	1	0	3	0	0	0	0	0	0	0	0	1	1	1	16	12	3	18
RF_hindlimb	5	3	0	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	6	12	0	15
SAR_hindlimb	5	1	2	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	3	0	0	1	2	0	2	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	18	1	19
SM_hindlimb	30	1	4	2	0	0	3	3	2	0	0	1	2	0	0	4	2	3	6	1	0	3	3	1	4	3	4	1	0	1	2	1	0	2	1	1	2	0	0	0	0	0	2	1	0	0	1	16	32	3	33
SOL_hindlimb	2	2	0	0	2	0	0	0	0	1	0	0	3	1	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	2	0	0	0	0	10	15	2	16
ST_hindlimb	14	3	3	0	2	0	1	2	1	0	0	1	1	1	0	1	0	0	3	1	0	2	2	1	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	27	3	20
TFL_hindlimb	20	4	0	3	0	0	3	4	1	0	2	1	2	1	0	4	3	2	5	1	0	3	4	2	8	3	4	1	0	0	2	1	0	6	0	1	2	0	1	1	0	1	0	1	3	0	0	16	31	4	32
TIC_hindlimb	4	3	2	0	0	0	0	0	0	0	0	0	4	1	0	1	0	1	3	0	0	2	2	0	11	0	7	2	3	2	0	1	0	1	0	0	1	2	0	2	0	0	2	0	1	1	1	13	16	4	17
VI_hindlimb	8	2	2	2	1	1	1	0	2	0	0	2	6	2	2	1	0	1	7	0	3	4	2	1	12	2	9	4	2	4	0	0	1	0	4	1	2	1	0	4	1	2	5	1	0	1	0	21	22	2	27
VL_hindlimb	1	3	0	2	0	0	2	0	2	1	0	3	0	1	2	2	0	2	2	0	0	2	0	2	5	0	4	0	0	1	0	0	1	1	2	1	1	0	0	3	0	0	4	2	0	0	0	12	25	1	23
VM_hindlimb	4	1	1	1	0	0	0	2	1	0	1	0	4	1	0	1	0	0	3	0	0	1	0	1	8	0	7	0	0	0	1	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	14	20	3	21
Left_Atrium	5	16	13	15	7	13	21	17	14	15	9	19	28	22	8	17	11	14	23	0	15	18	21	9	14	17	26	13	19	28	13	13	9	15	18	17	19	7	16	28	17	23	30	17	30	19	19	0	3	0	0
Left_Ventricle	10	16	16	16	19	20	17	18	13	20	14	26	40	26	14	22	23	26	31	7	23	30	26	23	25	23	39	27	27	35	17	14	17	19	32	23	33	12	16	40	20	36	34	21	22	23	20	2	0	0	0
Right_Atrium	0	5	1	0	0	2	5	5	1	5	2	7	1	4	0	5	4	1	2	0	1	2	2	2	3	1	4	7	8	7	1	4	0	3	1	7	8	0	0	12	2	3	10	8	11	7	4	0	0	0	0
Right_Ventricle	5	12	19	19	19	20	22	27	15	24	12	26	39	26	21	21	20	22	27	3	16	23	26	15	28	25	30	32	28	33	18	15	14	23	31	27	37	19	18	38	18	29	36	22	32	33	27	0	0	0	0
