gene_biotype	detected_number	all	undetected_number	detect_rate	cutoff	tissue
TUCP	503.000	2443	1940.000	0.206	0.100	Retina
lncRNA	3975.000	19112	15137.000	0.208	0.100	Retina
protein_coding	13828.000	22452	8624.000	0.616	0.100	Retina
TUCP	1149.000	2443	1294.000	0.470	0.100	Right_Atrium
lncRNA	9449.000	19112	9663.000	0.494	0.100	Right_Atrium
protein_coding	15448.000	22452	7004.000	0.688	0.100	Right_Atrium
TUCP	947.000	2443	1496.000	0.388	0.100	Right_Ventricle
lncRNA	8031.000	19112	11081.000	0.420	0.100	Right_Ventricle
protein_coding	14582.000	22452	7870.000	0.649	0.100	Right_Ventricle
TUCP	1050.000	2443	1393.000	0.430	0.100	SOL
lncRNA	8665.000	19112	10447.000	0.453	0.100	SOL
protein_coding	14985.000	22452	7467.000	0.667	0.100	SOL
TUCP	1051.000	2443	1392.000	0.430	0.100	Small_Intestine
lncRNA	8868.000	19112	10244.000	0.464	0.100	Small_Intestine
protein_coding	15798.000	22452	6654.000	0.704	0.100	Small_Intestine
TUCP	1226.000	2443	1217.000	0.502	0.100	Spleen
lncRNA	10396.000	19112	8716.000	0.544	0.100	Spleen
protein_coding	15557.000	22452	6895.000	0.693	0.100	Spleen
TUCP	643.000	2443	1800.000	0.263	0.100	Stomach
lncRNA	5296.000	19112	13816.000	0.277	0.100	Stomach
protein_coding	14382.000	22452	8070.000	0.641	0.100	Stomach
TUCP	1186.000	2443	1257.000	0.485	0.100	TA
lncRNA	9603.000	19112	9509.000	0.502	0.100	TA
protein_coding	15177.000	22452	7275.000	0.676	0.100	TA
TUCP	2114.000	2443	329.000	0.865	0.100	Testis
lncRNA	16128.000	19112	2984.000	0.844	0.100	Testis
protein_coding	18351.000	22452	4101.000	0.817	0.100	Testis
TUCP	1320.000	2443	1123.000	0.540	0.100	ULB
lncRNA	10750.000	19112	8362.000	0.562	0.100	ULB
protein_coding	15521.000	22452	6931.000	0.691	0.100	ULB
TUCP	1237.000	2443	1206.000	0.506	0.100	Uterus
lncRNA	9729.000	19112	9383.000	0.509	0.100	Uterus
protein_coding	15921.000	22452	6531.000	0.709	0.100	Uterus
miRNA	668.000	3448	2780.000	0.194	0.000	ASA
miRNA	860.000	3448	2588.000	0.249	0.000	Cerebellum
miRNA	803.000	3448	2645.000	0.233	0.000	Cerebrum
miRNA	727.000	3448	2721.000	0.211	0.000	Colon
miRNA	853.000	3448	2595.000	0.247	0.000	GAS-L
miRNA	842.000	3448	2606.000	0.244	0.000	GM
miRNA	803.000	3448	2645.000	0.233	0.000	GOM
miRNA	823.000	3448	2625.000	0.239	0.000	ILB
miRNA	798.000	3448	2650.000	0.231	0.000	Kidney
miRNA	727.000	3448	2721.000	0.211	0.000	LIN
miRNA	762.000	3448	2686.000	0.221	0.000	Left_Atrium
miRNA	819.000	3448	2629.000	0.238	0.000	Left_Ventricle
miRNA	668.000	3448	2780.000	0.194	0.000	Liver
miRNA	797.000	3448	2651.000	0.231	0.000	Lung
miRNA	588.000	3448	2860.000	0.171	0.000	MAD
miRNA	662.000	3448	2786.000	0.192	0.000	MAS
miRNA	837.000	3448	2611.000	0.243	0.000	Ovary
miRNA	718.000	3448	2730.000	0.208	0.000	PAD
miRNA	1018.000	3448	2430.000	0.295	0.000	PIEC
miRNA	681.000	3448	2767.000	0.198	0.000	PK15
miRNA	775.000	3448	2673.000	0.225	0.000	PM
miRNA	792.000	3448	2656.000	0.230	0.000	RAD
miRNA	748.000	3448	2700.000	0.217	0.000	RHO
miRNA	610.000	3448	2838.000	0.177	0.000	Retina
miRNA	798.000	3448	2650.000	0.231	0.000	Right_Atrium
miRNA	820.000	3448	2628.000	0.238	0.000	Right_Ventricle
miRNA	803.000	3448	2645.000	0.233	0.000	SOL
miRNA	711.000	3448	2737.000	0.206	0.000	Small_Intestine
miRNA	844.000	3448	2604.000	0.245	0.000	Spleen
miRNA	598.000	3448	2850.000	0.173	0.000	Stomach
miRNA	992.000	3448	2456.000	0.288	0.000	TA
miRNA	960.000	3448	2488.000	0.278	0.000	Testis
miRNA	755.000	3448	2693.000	0.219	0.000	ULB
miRNA	797.000	3448	2651.000	0.231	0.000	Uterus
circRNA	3177.000	79359	76182.000	0.040	0.050	ASA
circRNA	17500.000	79359	61859.000	0.221	0.050	Cerebellum
circRNA	9535.000	79359	69824.000	0.120	0.050	Cerebrum
circRNA	6079.000	79359	73280.000	0.077	0.050	Colon
circRNA	5947.000	79359	73412.000	0.075	0.050	GAS-L
circRNA	6608.000	79359	72751.000	0.083	0.050	GM
circRNA	6440.000	79359	72919.000	0.081	0.050	GOM
circRNA	5766.000	79359	73593.000	0.073	0.050	ILB
circRNA	8137.000	79359	71222.000	0.103	0.050	Kidney
circRNA	5155.000	79359	74204.000	0.065	0.050	LIN
circRNA	8254.000	79359	71105.000	0.104	0.050	Left_Atrium
circRNA	7853.000	79359	71506.000	0.099	0.050	Left_Ventricle
circRNA	8182.000	79359	71177.000	0.103	0.050	Liver
circRNA	8054.000	79359	71305.000	0.101	0.050	Lung
circRNA	5486.000	79359	73873.000	0.069	0.050	MAD
circRNA	4502.000	79359	74857.000	0.057	0.050	MAS
circRNA	7418.000	79359	71941.000	0.093	0.050	Ovary
circRNA	5962.000	79359	73397.000	0.075	0.050	PAD
circRNA	1061.000	79359	78298.000	0.013	0.050	PIEC
circRNA	1200.000	79359	78159.000	0.015	0.050	PK15
circRNA	6143.000	79359	73216.000	0.077	0.050	PM
circRNA	4765.000	79359	74594.000	0.060	0.050	RAD
circRNA	5536.000	79359	73823.000	0.070	0.050	RHO
circRNA	24142.000	79359	55217.000	0.304	0.050	Retina
circRNA	8841.000	79359	70518.000	0.111	0.050	Right_Atrium
circRNA	8396.000	79359	70963.000	0.106	0.050	Right_Ventricle
circRNA	5733.000	79359	73626.000	0.072	0.050	SOL
circRNA	7687.000	79359	71672.000	0.097	0.050	Small_Intestine
circRNA	7883.000	79359	71476.000	0.099	0.050	Spleen
circRNA	3649.000	79359	75710.000	0.046	0.050	Stomach
circRNA	6442.000	79359	72917.000	0.081	0.050	TA
circRNA	10450.000	79359	68909.000	0.132	0.050	Testis
circRNA	5043.000	79359	74316.000	0.064	0.050	ULB
circRNA	8680.000	79359	70679.000	0.109	0.050	Uterus
